Segs: 1706 total, 1474 passed, 232 filtered
Combined GA: pop=192 gen=100 fitness=LVS*1000-DRC
Gen 51: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 52: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 53: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 54: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 55: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 56: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 57: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 58: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 59: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 60: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 61: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 62: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 63: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 64: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 65: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 66: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 67: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 68: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 69: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
